title,link,year,rating,n_ratings,genre,cert,country,lang,budget,opening_week,runtime,continent,region
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,India,English,95000000,576216,119,Asia,South Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,India,French,95000000,576216,119,Asia,South Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,India,German,95000000,576216,119,Asia,South Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,Spain,English,95000000,576216,119,Europe,Europe & Central Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,Spain,French,95000000,576216,119,Europe,Europe & Central Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,Spain,German,95000000,576216,119,Europe,Europe & Central Asia
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,Canada,English,95000000,576216,119,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,Canada,French,95000000,576216,119,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,Canada,German,95000000,576216,119,Americas,North America
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,China,English,95000000,576216,119,Asia,East Asia & Pacific
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,China,French,95000000,576216,119,Asia,East Asia & Pacific
1917,http://www.imdb.com/title/tt8579674/?ref_=adv_li_tt,2019,8.3,390290,War,15,China,German,95000000,576216,119,Asia,East Asia & Pacific
1922,http://www.imdb.com/title/tt6214928/?ref_=adv_li_tt,2017,6.3,51706,Crime,15,USA,English,NA,NA,102,Americas,North America
1922,http://www.imdb.com/title/tt6214928/?ref_=adv_li_tt,2017,6.3,51706,Drama,15,USA,English,NA,NA,102,Americas,North America
1922,http://www.imdb.com/title/tt6214928/?ref_=adv_li_tt,2017,6.3,51706,Horror,15,USA,English,NA,NA,102,Americas,North America
1922,http://www.imdb.com/title/tt6214928/?ref_=adv_li_tt,2017,6.3,51706,Mystery,15,USA,English,NA,NA,102,Americas,North America
1922,http://www.imdb.com/title/tt6214928/?ref_=adv_li_tt,2017,6.3,51706,Thriller,15,USA,English,NA,NA,102,Americas,North America
1BR,http://www.imdb.com/title/tt7541106/?ref_=adv_li_tt,2019,5.8,7389,Drama,15,USA,English,NA,NA,90,Americas,North America
1BR,http://www.imdb.com/title/tt7541106/?ref_=adv_li_tt,2019,5.8,7389,Horror,15,USA,English,NA,NA,90,Americas,North America
1BR,http://www.imdb.com/title/tt7541106/?ref_=adv_li_tt,2019,5.8,7389,Thriller,15,USA,English,NA,NA,90,Americas,North America
2 Days in New York,http://www.imdb.com/title/tt1602472/?ref_=adv_li_tt,2012,6,13867,Comedy,15,France,English,8000000,23942,96,Europe,Europe & Central Asia
2 Days in New York,http://www.imdb.com/title/tt1602472/?ref_=adv_li_tt,2012,6,13867,Comedy,15,France,French,8000000,23942,96,Europe,Europe & Central Asia
2 Days in New York,http://www.imdb.com/title/tt1602472/?ref_=adv_li_tt,2012,6,13867,Comedy,15,France,Italian,8000000,23942,96,Europe,Europe & Central Asia
2 Days in New York,http://www.imdb.com/title/tt1602472/?ref_=adv_li_tt,2012,6,13867,Comedy,15,Germany,English,8000000,23942,96,Europe,Europe & Central Asia
2 Days in New York,http://www.imdb.com/title/tt1602472/?ref_=adv_li_tt,2012,6,13867,Comedy,15,Germany,French,8000000,23942,96,Europe,Europe & Central Asia
2 Days in New York,http://www.imdb.com/title/tt1602472/?ref_=adv_li_tt,2012,6,13867,Comedy,15,Germany,Italian,8000000,23942,96,Europe,Europe & Central Asia
2 Days in New York,http://www.imdb.com/title/tt1602472/?ref_=adv_li_tt,2012,6,13867,Comedy,15,Belgium,English,8000000,23942,96,Europe,Europe & Central Asia
2 Days in New York,http://www.imdb.com/title/tt1602472/?ref_=adv_li_tt,2012,6,13867,Comedy,15,Belgium,French,8000000,23942,96,Europe,Europe & Central Asia
